nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"Dinas Pendidikan","PENATA LAYANAN OPERASIONAL",,8
"SEKRETARIAT DAERAH","PENELAAH TEKNIS KEBIJAKAN",,7
"Dinas Kesehatan","Tenaga Sanitasi Lingkungan Terampil",,7
"RSUD Ngudi Waluyo Wlingi","Asisten Apoteker Penyelia",,7
Inspektorat,"Pengawas Penyelenggaraan Urusan Pemerintahan Daerah Ahli Madya",,7
"RSUD Srengat","Pranata Laboratorium Kesehatan Terampil",,7
"Dinas Pemberdayaan Masyarakat dan Desa","PENELAAH TEKNIS KEBIJAKAN",,7
"Dinas Peternakan dan Perikanan","Medik Veteriner Ahli Pertama",,7
"Dinas Pendidikan","GURU SD",,7
"RSUD Ngudi Waluyo Wlingi","Bidan Penyelia",,7
"Kecamatan Sutojayan",Lurah,,7
"Dinas Peternakan dan Perikanan","PENGADMINISTRASI PERKANTORAN",,7
"SEKRETARIAT DAERAH","PENGADMINISTRASI PERKANTORAN",,7
"Dinas Perindustrian dan Perdagangan","PENGOLAH DATA DAN INFORMASI",,7
"Dinas Pendidikan","PENGOLAH DATA DAN INFORMASI",,7
"Dinas Ketahanan Pangan dan Pertanian","PENELAAH TEKNIS KEBIJAKAN",,7
Inspektorat,"Pengawas Penyelenggaraan Urusan Pemerintahan Daerah Ahli Muda",,7
"Dinas Kesehatan","Dokter Gigi Ahli Pertama",,7
"Dinas Ketahanan Pangan dan Pertanian","PENATA LAYANAN OPERASIONAL",,7
"Dinas Kesehatan","Perawat Pelaksana / Terampil",,6
"RSUD Srengat","Dokter Ahli Pertama",,6
"RSUD Ngudi Waluyo Wlingi","PENGELOLA LAYANAN OPERASIONAL",,6
,"Bidan Terampil",,6
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","PENELAAH TEKNIS KEBIJAKAN",,6
"Dinas Peternakan dan Perikanan","PENELAAH TEKNIS KEBIJAKAN",,6
"Dinas Sosial","PENELAAH TEKNIS KEBIJAKAN",,6
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Analis Sumber Daya Manusia Aparatur Ahli Muda",,6
"Badan Kesatuan Bangsa dan Politik","Analis Kebijakan Ahli Muda",,6
"Dinas Pekerjaan Umum dan Penataan Ruang","PENGAWAS JARINGAN UTILITAS",,6
"Dinas Kesehatan","Perawat Ahli Muda",,6
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","PENELAAH TEKNIS KEBIJAKAN",,6
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Polisi Pamong Praja Terampil",,6
"Dinas Peternakan dan Perikanan","Paramedik Veteriner Terampil",,6
"Dinas Kepemudaan Dan Olah Raga","PENGADMINISTRASI PERKANTORAN",,6
"RSUD Ngudi Waluyo Wlingi","Radiografer Penyelia",,5
Inspektorat,"Auditor Ahli Muda",,5
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Perencana Ahli Pertama",,5
"Dinas Kesehatan","Administrator Kesehatan Ahli Pertama",,5
"Dinas Kesehatan","Sanitarian Terampil",,5
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","PENELAAH TEKNIS KEBIJAKAN",,5
