nama_opd,nama_jabatan,kelas_jabatan,jumlah_pegawai_terdampak
"RSUD Ngudi Waluyo Wlingi","Penata Anestesi Ahli Pertama",,2
"RSUD Srengat","TEKNISI TRANSFUSI DARAH TERAMPIL",,2
,"PRANATA LABORATORIUM KESEHATAN TERAMPIL",,2
,"ASISTEN PENATA ANESTESI TERAMPIL",,2
,"AHLI PERTAMA - APOTEKER",,2
"Dinas Kesehatan","PELAKSANA/TERAMPIL - SANITARIAN",,2
"Dinas Kesehatan","PELAKSANA/TERAMPIL - PRANATA LABORATORIUM KESEHATAN",,2
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Seksi Satuan Perlindungan Masyarakat",,1
"Dinas Penanaman Modal dan Pelayanan Terpadu satu Pintu","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Perhubungan","Kepala Seksi Simpul Transportasi",,1
"Dinas Sosial","Kepala Bidang Perlindungan dan Jaminan Sosial",,1
"Dinas Kependudukan dan Pencatatan Sipil","Kepala Bidang Pelayanan Pendaftaran Penduduk",,1
"Badan Kesatuan Bangsa dan Politik","Kepala Bidang Ketahanan Ekonomi, Sosial, Budaya Agama Dan Organisasi Masyarakat",,1
"Dinas Perindustrian dan Perdagangan","Kepala Bidang Kemetrologian",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","PENGAWAS PENDATAAN STATISTIK",,1
"Kecamatan Sanankulon","Kepala Seksi Pelayanan Publik",,1
"Dinas Kesehatan","PENATA KELOLA SISTEM DAN TEKNOLOGI INFORMASI",,1
"Dinas Perpustakaan Dan Kearsipan","Kepala Bidang Perpustakaan",,1
"Dinas Kesehatan","Pranata Laboratorium Kesehatan Ahli Muda",,1
"Kelurahan Bajang","PENGOLAH DATA DAN INFORMASI",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Analis Sumber Daya Manusia Aparatur Ahli Pertama",,1
"RSUD Srengat","Pranata Laboratorium Kesehatan Mahir",,1
"Dinas Perindustrian dan Perdagangan","Analis Perdagangan Ahli Muda",,1
"Dinas Tenaga Kerja","Kepala Sub Bagian Umum dan Kepegawaian",,1
,"Perawat Gigi Penyelia",,1
"RSUD Ngudi Waluyo Wlingi","Teknisi Elektromedis Ahli Pertama",,1
,STAF,,1
"Badan Pendapatan Daerah","Pranata Komputer Ahli Muda",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Perencana Ahli Muda",,1
"Kecamatan Selorejo","SEKRETARIS DESA",,1
"Dinas Kesehatan","PENATA KELOLA OBAT DAN MAKANAN",,1
"RSUD Ngudi Waluyo Wlingi","Wakil Direktur Umum, Perencanaan dan Keuangan",,1
"Kelurahan Kamulan","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
Inspektorat,"Inspektur Pembantu III",,1
"Kecamatan Wonodadi",Sekretaris,,1
"Dinas Peternakan dan Perikanan","Kepala Bidang Perikanan Tangkap",,1
"Dinas Kepemudaan Dan Olah Raga","Kepala Bidang Keolahragaan",,1
"Dinas Kesehatan","Kepala UPT Puskesmas Selopuro",,1
"Dinas Kesehatan","Perawat Madya / Ahli Madya",,1
"RSUD Ngudi Waluyo Wlingi","Kepala Bidang Penunjang",,1
,"Penilik Ahli Madya",,1
"Kecamatan Binangun","Kepala Seksi Kesejahteraan Sosial",,1
"RSUD Ngudi Waluyo Wlingi","Kepala Bidang Keperawatan",,1
"Dinas Pendidikan","Guru Madya Tingkat. I",,1
"Dinas Kesehatan","ANALIS KESEHATAN",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Peneliti Ahli Muda",,1
"Kelurahan Jegu","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Pendidikan","Kepala Seksi Pengembangan Kurikulum Sekolah Dasar Dan Sekolah Menengah Pertama",,1
"Pelaksana Badan Penanggulangan Bencana Daerah",Sekretaris,,1
"Dinas Kependudukan dan Pencatatan Sipil","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Kesehatan","Teknisi Elektromedis Terampil",,1
"Badan Pendapatan Daerah","KEPALA SUB BIDANG PENGELOLAAN DAN BASIS DATA PAJAK DAERAH",,1
"RSUD Srengat","Teknisi Elektromedis Terampil",,1
"Dinas Pendidikan","KEPALA SEKSI KELEMBAGAAN DAN SARANA PRASARANA PENDIDIKAN SMP",,1
"RSUD Srengat","Apoteker Ahli Muda",,1
"Kecamatan Wates",Camat,,1
"Dinas Peternakan dan Perikanan",Sekretaris,,1
"Dinas Perindustrian dan Perdagangan","Penyuluh Perindustrian dan Perdagangan Terampil",,1
"Dinas Perpustakaan Dan Kearsipan","PENELAAH TEKNIS KEBIJAKAN",,1
"Dinas Perpustakaan Dan Kearsipan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Arsiparis Terampil",,1
"RSUD Srengat","PENGADMINISTRASI PERKANTORAN",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Perencana Ahli Muda",,1
"Dinas Sosial","Perencana Ahli Muda",,1
"Kecamatan Gandusari","Kepala Seksi Ketentraman dan Ketertiban",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia",Sekretaris,,1
"SEKRETARIAT DAERAH","Asisten Administrasi Umum",,1
,"Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Sanankulon","PENELAAH TEKNIS KEBIJAKAN",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","PENGOLAH DATA DAN INFORMASI",,1
"Kecamatan Kesamben","Kepala Seksi Kesejahteraan Sosial",,1
"Kelurahan Jingglong",Sekretaris,,1
"Dinas Tenaga Kerja","Kepala Bidang Pelatihan Kerja, Produktivitas Tenaga Kerja dan Transmigrasi",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Bidang Pemadam Kebakaran",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Kepala Bidang Tata Ruang",,1
"Kecamatan Sutojayan","Kepala Seksi Pemerintahan",,1
"Dinas Lingkungan Hidup","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Sanankulon","Kepala Seksi Pemberdayaan Masyarakat",,1
"Dinas Ketahanan Pangan dan Pertanian","KEPALA BIDANG PRASARANA PERTANIAN",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Seksi Bina Penyidik Pegawai Negeri Sipil Dan Penyidikan",,1
"RSUD Ngudi Waluyo Wlingi","Kepala Bagian Keuangan dan Akuntansi",,1
"RSUD Ngudi Waluyo Wlingi","Wakil Direktur Penunjang Pendidikan dan Penelitian",,1
"Dinas Koperasi, Usaha Kecil dan Menengah",Sekretaris,,1
"Dinas Perindustrian dan Perdagangan","Kepala Sub Bagian Keuangan",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Kepala Bidang Prasarana Wilayah Dan Ekonomi",,1
Inspektorat,"Inspektur Pembantu Khusus",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Kepala Bidang Mutasi",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Kepala Bidang Stastistik",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan",Sekretaris,,1
"Dinas Kepemudaan Dan Olah Raga","Pelatih Olahraga Ahli Muda",,1
"RSUD Srengat","Kepala Bidang Pelayanan Medis dan Keperawatan",,1
,"Guru Muda",,1
"Kecamatan Sanankulon","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Kecamatan Bakung","Kepala Seksi Kesejahteraan Sosial",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Pranata Komputer Terampil",,1
"Kecamatan Ponggok","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","Pengembang Kewirausahaan Ahli Pertama",,1
"Dinas Kesehatan","Kepala UPT Laboratorium Kesehatan",,1
"Dinas Kependudukan dan Pencatatan Sipil","Kepala Bidang Pemanfaatan Data Dan Inovasi Pelayanan",,1
Inspektorat,"PENGADMINISTRASI PERKANTORAN",,1
Inspektorat,"PENGOLAH DATA DAN INFORMASI",,1
"Kelurahan Kauman","PENGOLAH DATA DAN INFORMASI",,1
"RSUD Ngudi Waluyo Wlingi","PENGADMINISTRASI UMUM",,1
"Kecamatan Nglegok","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Nglegok","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Wlingi","Kepala Seksi Kesejahteraan Sosial",,1
"Dinas Pemberdayaan Masyarakat dan Desa",Sekretaris,,1
"Pelaksana Badan Penanggulangan Bencana Daerah","Arsiparis Mahir",,1
"RSUD Srengat","Kepala Sub Bagian Kepegawaian",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Arsiparis Mahir",,1
"Kecamatan Selorejo","PENELAAH TEKNIS KEBIJAKAN",,1
"Kelurahan Kedungbunder","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Pendidikan","Guru Pratama Tingkat. I",,1
"RSUD Srengat","Kepala Sub Bagian Keuangan",,1
"Kecamatan Panggungrejo","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Kelurahan Sukorejo",Sekretaris,,1
"Kelurahan Kalipang","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Selorejo","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","Pengembang Kewirausahaan Ahli Madya",,1
"Kecamatan Kesamben","Kepala Seksi Ketentraman dan Ketertiban",,1
"Dinas Kebudayaan Dan Pariwisata","Kepala Bidang Kebudayaan",,1
"Kelurahan Kanigoro","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Wonotirto","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kelurahan Bence","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kecamatan Wonotirto","Kepala Seksi Kesejahteraan Sosial",,1
"Kelurahan Tawangsari","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kecamatan Wlingi","Kepala Seksi Pemerintahan",,1
"Kecamatan Garum","Kepala Seksi Pemerintahan",,1
"Kelurahan Kademangan",Sekretaris,,1
"Kelurahan Kademangan","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Wlingi","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Wates","Kepala Seksi Pemerintahan",,1
"Kelurahan Kanigoro",Sekretaris,,1
"Kecamatan Udanawu","Kepala Seksi Pemerintahan",,1
"Kecamatan Panggungrejo","Kepala Seksi Pemerintahan",,1
"Kecamatan Panggungrejo","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Kepala Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana",,1
"Kecamatan Wonotirto","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Talun","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kelurahan Kedungbunder","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kecamatan Sutojayan","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Kecamatan Sutojayan","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kecamatan Selorejo","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Kecamatan Selorejo","Kepala Seksi Pemerintahan",,1
"Kecamatan Ponggok","Kepala Sub Bagian Umum dan Kepegawaian",,1
"SEKRETARIAT DAERAH","Kepala SUBBAGIAN SUMBERDAYA ALAM",,1
"Kecamatan Panggungrejo","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kelurahan Bajang","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kelurahan Klemunan",Sekretaris,,1
"Kelurahan Tangkil",Sekretaris,,1
"Kelurahan Wlingi","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kelurahan Talun","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kecamatan Kademangan",Lurah,,1
"Kecamatan Selorejo","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kelurahan Kaweron","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kelurahan Wlingi","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kelurahan Kamulan","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Wlingi","LURAH BABADAN",,1
"Dinas Pendidikan","Kepala SEKSI PENDIDIKAN NON FORMAL",,1
"Kelurahan Kaweron","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kelurahan Bajang",Sekretaris,,1
"Kelurahan Kaweron",Sekretaris,,1
"Dinas Pemberdayaan Masyarakat dan Desa","Kepala Sub Bagian Keuangan",,1
"Kelurahan Sutojayan","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
Inspektorat,"Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kelurahan Sutojayan",Sekretaris,,1
"Kecamatan Doko","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kelurahan Sukorejo","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Kecamatan Bakung","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kelurahan Garum",Sekretaris,,1
"Kecamatan Garum","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kelurahan Jegu","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Garum","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Dinas Pemberdayaan Masyarakat dan Desa","Kepala Bidang Pemerintahan Desa",,1
"Dinas Peternakan dan Perikanan","Kepala Bidang Perikanan Budidaya",,1
"Dinas Ketahanan Pangan dan Pertanian","Kepala Bidang Ketahanan Pangan",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Ketahanan Pangan dan Pertanian","KEPALA BIDANG SARANA PERKEBUNAN",,1
"Kecamatan Wates","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kelurahan Jegu",Sekretaris,,1
"Kelurahan Kauman","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Badan Kepegawaian dan Pengembangan Sumber Daya Manusia","Kepala Bidang Pengadaan, Pemberhentian, Dan Data Aparatur Sipil Negara",,1
"Kecamatan Srengat","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Kecamatan Selopuro","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Peternakan dan Perikanan","Kepala Bidang Budidaya dan Pengembangan Peternakan",,1
"Kecamatan Panggungrejo",Sekretaris,,1
"Kecamatan Sutojayan",Sekretaris,,1
"Dinas Kesehatan","Arsiparis Terampil",,1
"Kelurahan Kamulan","PENGOLAH DATA DAN INFORMASI",,1
"Badan Perencanaan Pembangunan Daerah, Penelitian, Dan Pengembangan","Kepala Bidang Pemerintahan Dan Pembangunan Manusia",,1
"Dinas Lingkungan Hidup","Kepala Bidang Pengawasan Dan Pengendalian Pencemaran Dan Kerusakan Lingkungan Hidup",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Bidang Penegakan Hukum Daerah",,1
"Kelurahan Nglegok","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Udanawu","Kepala Seksi Pemberdayaan Masyarakat",,1
"RSUD Srengat","Kepala Seksi  Penyusunan Program, Perencanaan, Monitoring Evaluasi dan Pelaporan",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","OPERATOR LAYANAN OPERASIONAL",,1
"Dinas Perhubungan","Kepala SEKSI AUDIT DAN INSPEKSI KESELAMATAN",,1
"Kecamatan Bakung","Kepala Seksi Pelayanan Publik",,1
"Kecamatan Bakung",Camat,,1
"Kecamatan Kesamben",Sekretaris,,1
"Kecamatan Talun",Camat,,1
"Dinas Peternakan dan Perikanan","Kepala Bidang Kesehatan Hewan dan Kesehatan Masyarakat Veteriner",,1
"Dinas Pendidikan","Kepala SEKSI PENDIDIKAN ANAK USIA DINI",,1
"Kelurahan Dandong","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Wlingi",Camat,,1
"Dinas Perhubungan","Kepala Bidang Lalu Lintas",,1
"Kelurahan Kedungbunder","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Kecamatan Kanigoro","SEKRETARIS DESA",,1
"Kecamatan Sanankulon",Camat,,1
"Dinas Ketahanan Pangan dan Pertanian","Perencana Ahli Muda",,1
"Dinas Lingkungan Hidup",Sekretaris,,1
"Dinas Penanaman Modal dan Pelayanan Terpadu satu Pintu",Sekretaris,,1
"Kecamatan Doko","Kepala Seksi Pemberdayaan Masyarakat",,1
"Sekretariat DPRD","Kepala Bagian Fasilitasi Penganggaran dan Pengawasan",,1
"Dinas Pendidikan","Pengembang Kurikulum Ahli Muda",,1
"KELURAHAN BABADAN","Kepala Seksi Pelayanan Publik",,1
"Dinas Kependudukan dan Pencatatan Sipil","Kepala Bidang Pelayanan Pencatatan Sipil",,1
"Dinas Ketahanan Pangan dan Pertanian","Kepala Bidang Pengembangan Sumber Daya Manusia",,1
"Kecamatan Talun","Kepala Seksi Pemberdayaan Masyarakat",,1
,"Guru Madya Tingkat. I",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran",Sekretaris,,1
"Kecamatan Selopuro","PENGOLAH DATA DAN INFORMASI",,1
"Kecamatan Wonodadi","Kepala Seksi Pemerintahan",,1
"Kecamatan Kanigoro","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kecamatan Wlingi","PENELAAH TEKNIS KEBIJAKAN",,1
"Satuan Polisi Pamong Praja Dan Pemadam Kebakaran","Kepala Seksi Operasi Dan Pengendalian",,1
"Badan Pendapatan Daerah","KEPALA SUB BIDANG PELAYANAN DAN KONSULTASI PAJAK DAERAH",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana","Kepala Sub Bagian Keuangan",,1
"Kecamatan Srengat","Kepala Seksi Ketentraman dan Ketertiban",,1
"Dinas Tenaga Kerja","Kepala Bidang Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja",,1
"RSUD Ngudi Waluyo Wlingi","Asisten Penata Anestesi Penyelia",,1
"Kecamatan Wates","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Dinas Ketahanan Pangan dan Pertanian","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Kepala Sub Bagian Umum dan Kepegawaian",,1
"RSUD Ngudi Waluyo Wlingi","Fisioterapis Penyelia",,1
"Kelurahan Togogan",Sekretaris,,1
"Dinas Pekerjaan Umum dan Penataan Ruang","Penata Kelola Jalan dan Jembatan Ahli Muda",,1
"Kecamatan Bakung",Sekretaris,,1
"Kecamatan Sutojayan","Kepala Seksi Pelayanan Publik",,1
"Dinas Tenaga Kerja","Mediator Hubungan Industrial Ahli Muda",,1
"SEKRETARIAT DAERAH","PENGADMINISTRASI UMUM",,1
"Dinas Perpustakaan Dan Kearsipan","Kepala Bidang Pengelolaan Arsip",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","Kepala Sub Bagian Keuangan",,1
"Badan Pendapatan Daerah","KEPALA BIDANG PENETAPAN DAN PENAGIHAN PAJAK DAERAH",,1
,"Pengawas Sekolah Madya - Tingkat Menengah",,1
"Badan Pendapatan Daerah",Sekretaris,,1
"Kecamatan Garum","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Kelurahan Togogan","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Dinas Lingkungan Hidup","Kepala Bidang Pengelolaan Persampahan Dan Pertamanan",,1
"Dinas Perindustrian dan Perdagangan","Pengawas Kemetrologian Ahli Muda",,1
"Kelurahan Togogan","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Dinas Perpustakaan Dan Kearsipan","Kepala Bidang Pembinaan dan Pengawasan Kearsipan",,1
"Kecamatan Kademangan","Kepala Seksi Ketentraman dan Ketertiban",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","KEPALA BIDANG PEMBERDAYAAN DAN PERLINDUNGAN KOPERASI",,1
"Dinas Lingkungan Hidup","Pengawas Lingkungan Hidup Ahli Muda",,1
"Dinas Peternakan dan Perikanan","Pengawas Bibit Ternak Ahli Muda",,1
"Kecamatan Selorejo","Kepala Seksi Pelayanan Publik",,1
"Sekretariat DPRD","Kepala Sub Bagian Tata Usaha dan Kepegawaian",,1
"Dinas Pemberdayaan Perempuan, Perlindungan Anak, Pengendalian Penduduk, Dan Keluarga Berencana",Sekretaris,,1
"Sekretariat Bawaslu Provinsi Jawa Timur","Kepala Sekretariat Bawaslu Kab. Blitar",,1
"Dinas Perhubungan","Penguji Kendaraan Bermotor Penyelia",,1
"Pelaksana Badan Penanggulangan Bencana Daerah","Kepala Bidang Rehabilitasi dan Rekonstruksi",,1
"RSUD Ngudi Waluyo Wlingi","Pranata Laboratorium Kesehatan Ahli Madya",,1
"Dinas Perindustrian dan Perdagangan",Sekretaris,,1
"Kecamatan Kanigoro","Kepala Seksi Pemerintahan",,1
"Kelurahan Srengat",Sekretaris,,1
"Kecamatan Gandusari","FENGADMINISTRASI UMUM",,1
"Dinas Perpustakaan Dan Kearsipan",Sekretaris,,1
"Sekretariat DPRD","Sekretaris DPRD",,1
"Dinas Perhubungan",Sekretaris,,1
,"Sanitarian Terampil",,1
"Dinas Pekerjaan Umum dan Penataan Ruang","PRANATA KEWILAYAHAN",,1
"Kecamatan Kademangan","PENGOLAH DATA DAN INFORMASI",,1
"Dinas Perindustrian dan Perdagangan","Pengawas Kemetrologian Ahli Pertama",,1
"RSUD Ngudi Waluyo Wlingi","DOKTER SPESIALIS ORTHOPEDI DAN TRAUMATOLOGI",,1
"Kecamatan Panggungrejo","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Nglegok","Kepala Seksi Pelayanan Publik",,1
"SEKRETARIAT DAERAH","Analis Kebijakan Ahli Muda",,1
"Kecamatan Talun","Kepala Sub Bagian Penyusunan Program dan Keuangan",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Sub Bidang Akuntansi Pelaporan",,1
"Dinas Peternakan dan Perikanan","Kepala UPT RUMAH PEMOTONGAN HEWAN",,1
"Dinas Kepemudaan Dan Olah Raga","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Bidang Anggaran",,1
Inspektorat,"Inspektur Pembantu II",,1
"Kecamatan Selorejo",Camat,,1
"Kelurahan Kembangarum","Kepala Seksi Pemberdayaan Masyarakat dan Kesejahteraan Sosial",,1
"Badan Pendapatan Daerah","PENGADMINISTRASI UMUM",,1
"Dinas Ketahanan Pangan dan Pertanian","Analis Keuangan Pusat dan Daerah Ahli Muda",,1
"Badan Pendapatan Daerah","Kepala Badan Pendapatan Daerah",,1
"Kelurahan Kembangarum",Sekretaris,,1
"Dinas Perhubungan","Kepala Bidang Perlengkapan Jalan",,1
"Kecamatan Wates",Sekretaris,,1
"Dinas Koperasi, Usaha Kecil dan Menengah","KEPALA BIDANG PEMBERDAYAAN USAHA MIKRO",,1
"RSUD Srengat","Direktur RSUD Srengat",,1
"RSUD Srengat","Kepala Seksi Pelayanan Penunjang Non Klinik",,1
"Pelaksana Badan Penanggulangan Bencana Daerah","Kepala Bidang Kedaruratan dan Logistik",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Perencana Ahli Muda",,1
"Kelurahan Bajang","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Kepala Dinas Komunikasi, Informatika, Statistik, Dan Persandian",,1
"Dinas Lingkungan Hidup","Kepala Bidang Peningkatan Kapasitas Lingkungan Hidup",,1
"Dinas Kesehatan","Nutrisionis Ahli Muda",,1
"Kecamatan Kademangan","PENELAAH TEKNIS KEBIJAKAN",,1
"Dinas Pemberdayaan Masyarakat dan Desa","Kepala Bidang Penataan Dan Kerja Sama Desa",,1
"Kecamatan Ponggok","Kepala Seksi Ketentraman dan Ketertiban",,1
"Kecamatan Gandusari","Kepala Seksi Kesejahteraan Sosial",,1
"Badan Pendapatan Daerah","Analis Keuangan Pusat dan Daerah Ahli Muda",,1
"Dinas Kepemudaan Dan Olah Raga",Sekretaris,,1
"SEKRETARIAT DAERAH","Staf Ahli Bidang Hukum, Pemerintahan dan Politik",,1
"Dinas Kebudayaan Dan Pariwisata","Kepala Bidang Pemasaran Pariwisata",,1
"Kecamatan Kademangan","Kepala Seksi Pemberdayaan Masyarakat",,1
"Kecamatan Selorejo",Sekretaris,,1
"Dinas Kesehatan","Kepala Bidang Sumber Daya Kesehatan",,1
"Dinas Peternakan dan Perikanan","Pengelola Kesehatan Ikan Ahli Muda",,1
"RSUD Ngudi Waluyo Wlingi","Fisioterapis Mahir",,1
"Dinas Kesehatan","Sanitarian Mahir",,1
"Dinas Pendidikan","KEPALA BIDANG PENGELOLAAN PENDIDIKAN SEKOLAH MENENGAH PERTAMA",,1
"Dinas Perindustrian dan Perdagangan","Perencana Ahli Muda",,1
"Badan Pengelolaan Keuangan dan Aset Daerah","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Dinas Perhubungan","Kepala Seksi Pemeliharaan Perlengkapan Jalan",,1
,"PENGADMINISTRASI PERENCANAAN PROGRAM",,1
"RSUD Srengat","Kepala Seksi Pelayanan Keperawatan",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","KEPALA BIDANG PENGEMBANGAN KAWASAN PERMUKIMAN",,1
"Kecamatan Ponggok",Sekretaris,,1
"Dinas Ketahanan Pangan dan Pertanian","Analis Sumber Daya Manusia Aparatur Ahli Muda",,1
"Dinas Kependudukan dan Pencatatan Sipil","Analis Kebijakan Ahli Muda",,1
"Kecamatan Udanawu",Camat,,1
"Kecamatan Bakung","Kepala Sub Bagian Umum dan Kepegawaian",,1
"Sekretariat DPRD","Kepala Bagian Persidangan dan Perundang-undangan",,1
"Kecamatan Gandusari","Kepala Seksi Pemerintahan",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian","Kepala Bidang Informasi dan Komunikasi Publik",,1
"Kelurahan Srengat","Kepala Seksi Pemerintahan, Ketentraman dan Ketertiban",,1
"Dinas Koperasi, Usaha Kecil dan Menengah","KEPALA BIDANG PENGEMBANGAN USAHA MIKRO",,1
"Dinas Komunikasi, Informatika, Statistik, Dan Persandian",Sekretaris,,1
"Kecamatan Udanawu",Sekretaris,,1
"Kecamatan Selopuro","Kepala Seksi Pemberdayaan Masyarakat",,1
"Dinas Perindustrian dan Perdagangan","Kepala Bidang Sarana Perdagangan",,1
"Dinas Perumahan Rakyat, Kawasan Permukiman dan Pertanahan","Kepala Bidang Pertanahan",,1
"Kecamatan Ponggok","Kepala Seksi Pelayanan Publik",,1
"Dinas Tenaga Kerja","Kepala Bidang Hubungan Industrial Syarat Kerja",,1
